dl n=6 format = edgelist1
labels embedded
data:
		
532RL	324	394
532RL	333	630
532RL	483	88
532RL	493	9
532RL	521CI	1728
532RL	532RL	354
493	324	14
493	333	2
493	483	1
493	493	139
493	521CI	NA
493	532RL	42
483	324	686
483	333	55
483	483	7
483	493	0
483	521CI	13
483	532RL	22
333	324	42
333	333	7215
333	483	182
333	493	9
333	521CI	572
333	532RL	226
324	324	13936
324	333	679
324	483	1247
324	493	41
324	521CI	517
324	532RL	260
521CI	324	1505
521CI	333	1169
521CI	483	106
521CI	493	31
521CI	521CI	11674
521CI	532RL	1420
