dl n=6 format = edgelist1
labels embedded
data:
		
325	113FF	1665
325	212	1302
325	311FT	4627
325	325	74898
325	333	847
325	334	1796
333	113FF	82
333	212	2121
333	311FT	485
333	325	2181
333	333	12039
333	334	1169
212	113FF	3
212	212	8024
212	311FT	287
212	325	3993
212	333	68
212	334	82
334	113FF	16
334	212	7
334	311FT	34
334	325	1008
334	333	909
334	334	71941
311FT	113FF	256
311FT	212	NA
311FT	311FT	67225
311FT	325	1436
311FT	333	NA
311FT	334	NA
113FF	113FF	5063
113FF	212	94
113FF	311FT	2631
113FF	325	156
113FF	333	56
113FF	334	105
