dl n=6 format = edgelist1
labels embedded
data:
		
332	325	10606
332	326	8153
332	332	47876
332	333	33863
332	335	10830
332	3361MV	37123
335	325	944
335	326	1254
335	332	2963
335	333	14441
335	335	10888
335	3361MV	4938
3361MV	325	1408
3361MV	326	532
3361MV	332	1440
3361MV	333	15628
3361MV	335	512
3361MV	3361MV	146425
333	325	3221
333	326	1532
333	332	4086
333	333	41079
333	335	1970
333	3361MV	20770
326	325	14864
326	326	19056
326	332	2924
326	333	8606
326	335	2157
326	3361MV	21524
325	325	265388
325	326	66812
325	332	9220
325	333	5004
325	335	3389
325	3361MV	6307
