dl n=6 format = edgelist1
labels embedded
data:
		
721	311FT	91
721	512	23
721	521CI	71
721	523	85
721	524	313
721	721	6
512	311FT	1
512	512	2826
512	521CI	NA
512	523	NA
512	524	0
512	721	0
311FT	311FT	38687
311FT	512	114
311FT	521CI	3
311FT	523	1
311FT	524	5
311FT	721	985
524	311FT	273
524	512	12
524	521CI	315
524	523	40
524	524	24741
524	721	119
521CI	311FT	1146
521CI	512	71
521CI	521CI	7031
521CI	523	219
521CI	524	1724
521CI	721	385
523	311FT	16
523	512	1
523	521CI	1098
523	523	265
523	524	396
523	721	2
