dl n=6 format = edgelist1
labels embedded
data:
		
3364OT	212	7
3364OT	327	NA
3364OT	334	NA
3364OT	3364OT	19990
3364OT	5415	NA
3364OT	561	NA
5415	212	27
5415	327	21
5415	334	79
5415	3364OT	38
5415	5415	540
5415	561	18
212	212	5271
212	327	3946
212	334	163
212	3364OT	107
212	5415	0
212	561	3
327	212	133
327	327	5435
327	334	707
327	3364OT	429
327	5415	1
327	561	6
334	212	7
334	327	31
334	334	49900
334	3364OT	6435
334	5415	547
334	561	1173
561	212	157
561	327	227
561	334	870
561	3364OT	554
561	5415	313
561	561	3574
