dl n=6 format = edgelist1
labels embedded
data:
		
325	211	952
325	311FT	2864
325	325	49602
325	332	2680
325	334	2234
325	5412OP	747
211	211	6651
211	311FT	NA
211	325	2758
211	332	NA
211	334	NA
211	5412OP	NA
334	211	13
334	311FT	26
334	325	1902
334	332	303
334	334	49900
334	5412OP	2351
332	211	910
332	311FT	10276
332	325	3651
332	332	12424
332	334	7213
332	5412OP	280
311FT	211	6
311FT	311FT	53417
311FT	325	1251
311FT	332	12
311FT	334	12
311FT	5412OP	59
5412OP	211	1872
5412OP	311FT	8107
5412OP	325	7486
5412OP	332	2348
5412OP	334	3490
5412OP	5412OP	10771
